8.46292	0.243462	-3.03909	-0.087429	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44745	0.251473	-1.08939	0.0894658	8.44818	0.251553	8.45	0.25	-3.00027	0
8.46825	0.255837	-0.00805208	0.074253	8.56759	0.241943	8.45	0.25	0	0
8.46238	0.254285	-0.0095987	0.0243812	8.45582	0.253997	8.45	0.25	0	0
8.37298	0.253444	-1.12316	-0.014346	8.42544	0.254042	8.35	0.25	-1.81979	0
8.28843	0.25109	-1.14359	-0.019428	8.23962	0.24916	8.25	0.25	-1.81978	0
8.08321	0.244001	-2.56442	-0.0755796	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.92697	0.18645	-2.59149	-0.297013	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.75682	0.17537	-2.9116	-0.284027	7.61269	0.155818	7.7	0.15	-2.99982	0
7.59554	0.161058	-2.93306	-0.283403	7.54016	0.159641	7.55	0.15	-2.99982	0
7.49185	0.142533	-2.40486	-0.287731	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.35659	0.0767261	-2.40877	-0.433315	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.20201	0.0551355	-2.60763	-0.426885	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.05799	-0.0109506	-2.60942	-0.541126	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.96105	-0.048029	-2.13523	-0.566107	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.84466	-0.164035	-2.13666	-0.785961	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.74027	-0.204767	-2.09586	-0.791371	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.63554	-0.340732	-2.10325	-1.03995	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.6007	-0.41486	-1.50454	-1.13433	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.52944	-0.547248	-1.50638	-1.32986	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.50125	-0.643535	-1.00834	-1.43719	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.44045	-0.863407	-1.04166	-1.80329	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.35847	-0.948697	-1.27657	-1.73333	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.27439	-1.13327	-1.32455	-1.9662	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.35401	-1.33645	-0.0176263	-2.44751	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.34604	-1.54879	-0.0537074	-2.64902	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.30233	-1.64792	-0.438887	-2.46736	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.26261	-1.84617	-0.500721	-2.66121	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.30758	-2.04005	0.127386	-2.99873	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.31738	-2.20603	0.127685	-3.03839	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.31013	-2.35904	-0.0150702	-2.95277	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.31575	-2.52929	-0.0048874	-2.97084	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.35278	-2.727	0.322857	-3.17784	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.39064	-2.87215	0.377561	-3.10029	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.40014	-3.0171	0.274508	-3.03018	6.46536	-3.00452	6.45	-3	0	-2.99754
6.42226	-3.15857	0.296528	-3.00314	6.44119	-3.14955	6.45	-3.15	0	-2.99754
